"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25"
535,559,-0.990499618378605,0.177142330185045,-0.400622309378454,0.100563242039844,0.99900048734566,0.0999000487345661,-0.990343380850296,0.170778243095686,-0.400782211230486,0.10050361295436,0.998975512333477,0.0998975512333477,0,0.913962231974128,0.79875,-0.0183777565078533,0.0702998444802839,-0.00166238522324983,0.461075754835194,0.00625210638408651,0.195285175836868,0.268474668939622,0.351140785833379
443,442,-0.915429077766293,0.202586424439834,-0.400680536542736,0.100379674775585,0.998975512333477,0.0998975512333477,-0.912052797860837,0.182719423038877,-0.400713890275768,0.100278126341725,0.998950537945668,0.0998950537945669,0,0.914843738087816,0.80125,-0.0183659393601516,0.0709553899379252,-0.00150272995450207,0.461419897728355,0.00625453433601594,0.19528664745596,0.268467957072898,0.351132007313733
73,58,0.304556187691851,0.00572092440284216,0.100115147781504,0.099997526011576,0.0998950537945669,0.0998950537945669,0.291059725283625,-0.0022945928236769,0.100113984682185,0.100022277478001,0.099892556418222,0.099892556418222,0,0.914845676214659,0.79875,-0.0180736785404035,0.0714013275126589,-0.00151206001043349,0.461814550339156,0.00625514008361894,0.195289502093912,0.268461245373972,0.35112322901355
16,40,0.18629296873064,0.371669517483294,0.0994501768758869,0.0999573215041535,0.099892556418222,0.099892556418222,0.187202457199143,0.360218960952098,0.0993645136507651,0.100206431776243,0.0998900591043115,0.0998900591043115,0,0.903622886077419,0.80375,-0.0136574238858321,0.0701899422737369,0.00105085389636705,0.461378741021224,0.00625414916971841,0.195285490505144,0.268454533842837,0.351114450932825
105,114,-0.98886147068822,0.173038308575282,-0.401459783232207,0.0995714823411219,0.998900591043115,0.0998900591043115,-1.01077361581614,0.18146585384759,-0.401526745223961,0.0996337553315581,0.998875618528339,0.0998875618528339,0,0.89430293910489,0.80625,-0.0142657153996308,0.0697198672989705,0.00374163848183424,0.460674716691368,0.00626420145035147,0.195287364400742,0.268447822479491,0.351105673071552
598,600,-1.03337479524676,-0.933200464711034,-0.399016310430091,-0.399809172426013,0.998875618528339,0.998875618528339,-1.02729369246823,-0.965490990477717,-0.399110870784539,-0.399801435331786,0.998850646637876,0.998850646637876,0,0.89507239372617,0.805,-0.0134728760300038,0.0697314006287593,0.00371917546769407,0.460644556434894,0.00626117103709249,0.195288151729049,0.268441111283929,0.351096895429725
784,788,-0.979590612999883,0.0933459368028527,-0.400977448579292,0.100225796364135,0.998850646637876,0.0998850646637876,-0.992635571975271,0.102642898972784,-0.400972929532967,0.100193583101287,0.99882567537171,0.099882567537171,0,0.895957194250325,0.805,-0.0147667129008136,0.0686809807715503,0.00351531789571137,0.46119244056132,0.00625644518314563,0.195287306173725,0.268434400256147,0.351088118007339
88,118,0.998008582975744,0.189047557954325,-0.400254145086347,0.0994101822529893,0.99882567537171,0.099882567537171,0.98865835659398,0.186762726433653,-0.40034009900717,0.0993532339623444,0.998800704729826,0.0998800704729826,0,0.896022685079378,0.80375,-0.0140191103904018,0.0694836013182354,0.00314631766597481,0.461212314173627,0.00625754286565254,0.19528647667059,0.268427689396141,0.351079340804389
200,166,0.853616348052179,0.331085128416327,-0.399117474680129,0.0997063162786705,0.998800704729826,0.0998800704729826,0.839431228649983,0.317233413650813,-0.399033373038529,0.0997504935112136,0.998775734712207,0.0998775734712208,0,0.885410055425995,0.80375,-0.0166079231888653,0.0674687776913866,0.00564472030303905,0.46140895604681,0.00625639224452282,0.195281462962808,0.268420978703906,0.351070563820869
800,787,-0.921881473634728,-0.996842859210234,-0.399786901543471,-0.400779060867682,0.998775734712207,0.998775734712207,-0.935544375772533,-0.998473100152288,-0.399941126116933,-0.400762284380765,0.99875076531884,0.99875076531884,0,0.88561449726266,0.80125,-0.0165272412785053,0.0680762787138512,0.00556359163273813,0.461400353499937,0.00625412570731884,0.195283345334274,0.268414268179438,0.351061787056773
